1 2 3 => BOB
1 3 2 => ALICE
2 1 3 => ALICE
2 3 1 => ALICE
3 1 2 => ALICE
3 2 1 => BOB

1 2 3 4 => BOB
1 2 4 3 => ALICE
1 3 2 4 => ALICE
1 3 4 2 => ALICE
1 4 2 3 => ALICE
1 4 3 2 => ALICE
2 1 3 4 => ALICE
2 1 4 3 => BOB
2 3 1 4 => ALICE
2 3 4 1 => ALICE
2 4 1 3 => BOB
2 4 3 1 => ALICE
3 1 2 4 => ALICE
3 1 4 2 => BOB
3 2 1 4 => ALICE
3 2 4 1 => ALICE
3 4 1 2 => BOB
3 4 2 1 => ALICE
4 1 2 3 => ALICE
4 1 3 2 => ALICE
4 2 1 3 => ALICE
4 2 3 1 => ALICE
4 3 1 2 => ALICE
4 3 2 1 => ALICE
4 1 2 3 5 => ALICE
4 1 2 5 3 => ALICE
4 1 3 2 5 => BOB
4 1 3 5 2 => ALICE
4 1 5 2 3 => ALICE
4 1 5 3 2 => ALICE
4 2 1 3 5 => BOB
4 2 1 5 3 => ALICE
4 2 3 1 5 => BOB
4 2 3 5 1 => BOB
4 2 5 1 3 => ALICE
4 2 5 3 1 => ALICE
4 3 1 2 5 => BOB
4 3 1 5 2 => ALICE
4 3 2 1 5 => BOB
4 3 2 5 1 => BOB
4 3 5 1 2 => ALICE
4 3 5 2 1 => BOB
4 5 1 2 3 => ALICE
4 5 1 3 2 => ALICE
4 5 2 1 3 => ALICE
4 5 2 3 1 => ALICE
4 5 3 1 2 => ALICE
4 5 3 2 1 => BOB
5 1 2 3 4 => ALICE
5 1 2 4 3 => BOB
5 1 3 2 4 => BOB
5 1 3 4 2 => BOB
5 1 4 2 3 => BOB
5 1 4 3 2 => BOB
5 2 1 3 4 => BOB
5 2 1 4 3 => ALICE
5 2 3 1 4 => BOB
5 2 3 4 1 => BOB
5 2 4 1 3 => ALICE
5 2 4 3 1 => BOB
5 3 1 2 4 => BOB
5 3 1 4 2 => ALICE
5 3 2 1 4 => BOB
5 3 2 4 1 => BOB
5 3 4 1 2 => ALICE
5 3 4 2 1 => BOB
5 4 1 2 3 => BOB
5 4 1 3 2 => BOB
5 4 2 1 3 => BOB
5 4 2 3 1 => BOB
5 4 3 1 2 => BOB
5 4 3 2 1 => BOB

1 2 3 4 5 6 => BOB
1 2 3 4 6 5 => ALICE
1 2 3 5 4 6 => ALICE
1 2 3 5 6 4 => ALICE
1 2 3 6 4 5 => ALICE
1 2 3 6 5 4 => ALICE
1 2 4 3 5 6 => ALICE
1 2 4 3 6 5 => BOB
1 2 4 5 3 6 => ALICE
1 2 4 5 6 3 => ALICE
1 2 4 6 3 5 => BOB
1 2 4 6 5 3 => ALICE
1 2 5 3 4 6 => ALICE
1 2 5 3 6 4 => BOB
1 2 5 4 3 6 => ALICE
1 2 5 4 6 3 => ALICE
1 2 5 6 3 4 => BOB
1 2 5 6 4 3 => ALICE
1 2 6 3 4 5 => ALICE
1 2 6 3 5 4 => ALICE
1 2 6 4 3 5 => ALICE
1 2 6 4 5 3 => ALICE
1 2 6 5 3 4 => ALICE
1 2 6 5 4 3 => ALICE
1 3 2 4 5 6 => ALICE
1 3 2 4 6 5 => BOB
1 3 2 5 4 6 => BOB
1 3 2 5 6 4 => BOB
1 3 2 6 4 5 => BOB
1 3 2 6 5 4 => ALICE
1 3 4 2 5 6 => ALICE
1 3 4 2 6 5 => BOB
1 3 4 5 2 6 => ALICE
1 3 4 5 6 2 => ALICE
1 3 4 6 2 5 => BOB
1 3 4 6 5 2 => ALICE
1 3 5 2 4 6 => BOB
1 3 5 2 6 4 => BOB
1 3 5 4 2 6 => ALICE
1 3 5 4 6 2 => ALICE
1 3 5 6 2 4 => BOB
1 3 5 6 4 2 => ALICE
1 3 6 2 4 5 => BOB
1 3 6 2 5 4 => ALICE
1 3 6 4 2 5 => ALICE
1 3 6 4 5 2 => ALICE
1 3 6 5 2 4 => ALICE
1 3 6 5 4 2 => ALICE
1 4 2 3 5 6 => ALICE
1 4 2 3 6 5 => BOB
1 4 2 5 3 6 => BOB
1 4 2 5 6 3 => BOB
1 4 2 6 3 5 => BOB
1 4 2 6 5 3 => ALICE
1 4 3 2 5 6 => ALICE
1 4 3 2 6 5 => ALICE
1 4 3 5 2 6 => ALICE
1 4 3 5 6 2 => ALICE
1 4 3 6 2 5 => ALICE
1 4 3 6 5 2 => ALICE
1 4 5 2 3 6 => BOB
1 4 5 2 6 3 => BOB
1 4 5 3 2 6 => ALICE
1 4 5 3 6 2 => ALICE
1 4 5 6 2 3 => BOB
1 4 5 6 3 2 => ALICE
1 4 6 2 3 5 => BOB
1 4 6 2 5 3 => ALICE
1 4 6 3 2 5 => ALICE
1 4 6 3 5 2 => ALICE
1 4 6 5 2 3 => ALICE
1 4 6 5 3 2 => ALICE
1 5 2 3 4 6 => ALICE
1 5 2 3 6 4 => BOB
1 5 2 4 3 6 => ALICE
1 5 2 4 6 3 => ALICE
1 5 2 6 3 4 => BOB
1 5 2 6 4 3 => ALICE
1 5 3 2 4 6 => ALICE
1 5 3 2 6 4 => ALICE
1 5 3 4 2 6 => ALICE
1 5 3 4 6 2 => ALICE
1 5 3 6 2 4 => ALICE
1 5 3 6 4 2 => ALICE
1 5 4 2 3 6 => ALICE
1 5 4 2 6 3 => ALICE
1 5 4 3 2 6 => ALICE
1 5 4 3 6 2 => ALICE
1 5 4 6 2 3 => ALICE
1 5 4 6 3 2 => ALICE
1 5 6 2 3 4 => BOB
1 5 6 2 4 3 => ALICE
1 5 6 3 2 4 => ALICE
1 5 6 3 4 2 => ALICE
1 5 6 4 2 3 => ALICE
1 5 6 4 3 2 => ALICE
1 6 2 3 4 5 => ALICE
1 6 2 3 5 4 => ALICE
1 6 2 4 3 5 => ALICE
1 6 2 4 5 3 => ALICE
1 6 2 5 3 4 => ALICE
1 6 2 5 4 3 => ALICE
1 6 3 2 4 5 => ALICE
1 6 3 2 5 4 => ALICE
1 6 3 4 2 5 => ALICE
1 6 3 4 5 2 => ALICE
1 6 3 5 2 4 => ALICE
1 6 3 5 4 2 => ALICE
1 6 4 2 3 5 => ALICE
1 6 4 2 5 3 => ALICE
1 6 4 3 2 5 => ALICE
1 6 4 3 5 2 => ALICE
1 6 4 5 2 3 => ALICE
1 6 4 5 3 2 => ALICE
1 6 5 2 3 4 => ALICE
1 6 5 2 4 3 => ALICE
1 6 5 3 2 4 => ALICE
1 6 5 3 4 2 => ALICE
1 6 5 4 2 3 => ALICE
1 6 5 4 3 2 => ALICE
2 1 3 4 5 6 => ALICE
2 1 3 4 6 5 => BOB
2 1 3 5 4 6 => BOB
2 1 3 5 6 4 => BOB
2 1 3 6 4 5 => BOB
2 1 3 6 5 4 => ALICE
2 1 4 3 5 6 => BOB
2 1 4 3 6 5 => BOB
2 1 4 5 3 6 => BOB
2 1 4 5 6 3 => BOB
2 1 4 6 3 5 => BOB
2 1 4 6 5 3 => ALICE
2 1 5 3 4 6 => BOB
2 1 5 3 6 4 => BOB
2 1 5 4 3 6 => ALICE
2 1 5 4 6 3 => ALICE
2 1 5 6 3 4 => BOB
2 1 5 6 4 3 => ALICE
2 1 6 3 4 5 => BOB
2 1 6 3 5 4 => ALICE
2 1 6 4 3 5 => ALICE
2 1 6 4 5 3 => ALICE
2 1 6 5 3 4 => ALICE
2 1 6 5 4 3 => ALICE
2 3 1 4 5 6 => ALICE
2 3 1 4 6 5 => BOB
2 3 1 5 4 6 => BOB
2 3 1 5 6 4 => BOB
2 3 1 6 4 5 => BOB
2 3 1 6 5 4 => ALICE
2 3 4 1 5 6 => ALICE
2 3 4 1 6 5 => BOB
2 3 4 5 1 6 => ALICE
2 3 4 5 6 1 => ALICE
2 3 4 6 1 5 => BOB
2 3 4 6 5 1 => ALICE
2 3 5 1 4 6 => BOB
2 3 5 1 6 4 => BOB
2 3 5 4 1 6 => ALICE
2 3 5 4 6 1 => ALICE
2 3 5 6 1 4 => BOB
2 3 5 6 4 1 => ALICE
2 3 6 1 4 5 => BOB
2 3 6 1 5 4 => ALICE
2 3 6 4 1 5 => ALICE
2 3 6 4 5 1 => ALICE
2 3 6 5 1 4 => ALICE
2 3 6 5 4 1 => ALICE
2 4 1 3 5 6 => BOB
2 4 1 3 6 5 => BOB
2 4 1 5 3 6 => BOB
2 4 1 5 6 3 => BOB
2 4 1 6 3 5 => BOB
2 4 1 6 5 3 => ALICE
2 4 3 1 5 6 => ALICE
2 4 3 1 6 5 => ALICE
2 4 3 5 1 6 => ALICE
2 4 3 5 6 1 => ALICE
2 4 3 6 1 5 => ALICE
2 4 3 6 5 1 => ALICE
2 4 5 1 3 6 => BOB
2 4 5 1 6 3 => BOB
2 4 5 3 1 6 => ALICE
2 4 5 3 6 1 => ALICE
2 4 5 6 1 3 => BOB
2 4 5 6 3 1 => ALICE
2 4 6 1 3 5 => BOB
2 4 6 1 5 3 => ALICE
2 4 6 3 1 5 => ALICE
2 4 6 3 5 1 => ALICE
2 4 6 5 1 3 => ALICE
2 4 6 5 3 1 => ALICE
2 5 1 3 4 6 => BOB
2 5 1 3 6 4 => BOB
2 5 1 4 3 6 => ALICE
2 5 1 4 6 3 => ALICE
2 5 1 6 3 4 => BOB
2 5 1 6 4 3 => ALICE
2 5 3 1 4 6 => ALICE
2 5 3 1 6 4 => ALICE
2 5 3 4 1 6 => ALICE
2 5 3 4 6 1 => ALICE
2 5 3 6 1 4 => ALICE
2 5 3 6 4 1 => ALICE
2 5 4 1 3 6 => ALICE
2 5 4 1 6 3 => ALICE
2 5 4 3 1 6 => ALICE
2 5 4 3 6 1 => ALICE
2 5 4 6 1 3 => ALICE
2 5 4 6 3 1 => ALICE
2 5 6 1 3 4 => BOB
2 5 6 1 4 3 => ALICE
2 5 6 3 1 4 => ALICE
2 5 6 3 4 1 => ALICE
2 5 6 4 1 3 => ALICE
2 5 6 4 3 1 => ALICE
2 6 1 3 4 5 => BOB
2 6 1 3 5 4 => ALICE
2 6 1 4 3 5 => ALICE
2 6 1 4 5 3 => ALICE
2 6 1 5 3 4 => ALICE
2 6 1 5 4 3 => ALICE
2 6 3 1 4 5 => ALICE
2 6 3 1 5 4 => ALICE
2 6 3 4 1 5 => ALICE
2 6 3 4 5 1 => ALICE
2 6 3 5 1 4 => ALICE
2 6 3 5 4 1 => ALICE
2 6 4 1 3 5 => ALICE
2 6 4 1 5 3 => ALICE
2 6 4 3 1 5 => ALICE
2 6 4 3 5 1 => ALICE
2 6 4 5 1 3 => ALICE
2 6 4 5 3 1 => ALICE
2 6 5 1 3 4 => ALICE
2 6 5 1 4 3 => ALICE
2 6 5 3 1 4 => ALICE
2 6 5 3 4 1 => ALICE
2 6 5 4 1 3 => ALICE
2 6 5 4 3 1 => ALICE
3 1 2 4 5 6 => ALICE
3 1 2 4 6 5 => BOB
3 1 2 5 4 6 => BOB
3 1 2 5 6 4 => BOB
3 1 2 6 4 5 => BOB
3 1 2 6 5 4 => ALICE
3 1 4 2 5 6 => BOB
3 1 4 2 6 5 => BOB
3 1 4 5 2 6 => BOB
3 1 4 5 6 2 => BOB
3 1 4 6 2 5 => BOB
3 1 4 6 5 2 => ALICE
3 1 5 2 4 6 => BOB
3 1 5 2 6 4 => BOB
3 1 5 4 2 6 => ALICE
3 1 5 4 6 2 => ALICE
3 1 5 6 2 4 => BOB
3 1 5 6 4 2 => ALICE
3 1 6 2 4 5 => BOB
3 1 6 2 5 4 => ALICE
3 1 6 4 2 5 => ALICE
3 1 6 4 5 2 => ALICE
3 1 6 5 2 4 => ALICE
3 1 6 5 4 2 => ALICE
3 2 1 4 5 6 => ALICE
3 2 1 4 6 5 => ALICE
3 2 1 5 4 6 => ALICE
3 2 1 5 6 4 => ALICE
3 2 1 6 4 5 => ALICE
3 2 1 6 5 4 => BOB
3 2 4 1 5 6 => ALICE
3 2 4 1 6 5 => ALICE
3 2 4 5 1 6 => ALICE
3 2 4 5 6 1 => ALICE
3 2 4 6 1 5 => ALICE
3 2 4 6 5 1 => ALICE
3 2 5 1 4 6 => ALICE
3 2 5 1 6 4 => ALICE
3 2 5 4 1 6 => ALICE
3 2 5 4 6 1 => ALICE
3 2 5 6 1 4 => ALICE
3 2 5 6 4 1 => ALICE
3 2 6 1 4 5 => ALICE
3 2 6 1 5 4 => BOB
3 2 6 4 1 5 => ALICE
3 2 6 4 5 1 => ALICE
3 2 6 5 1 4 => BOB
3 2 6 5 4 1 => ALICE
3 4 1 2 5 6 => BOB
3 4 1 2 6 5 => BOB
3 4 1 5 2 6 => BOB
3 4 1 5 6 2 => BOB
3 4 1 6 2 5 => BOB
3 4 1 6 5 2 => ALICE
3 4 2 1 5 6 => ALICE
3 4 2 1 6 5 => ALICE
3 4 2 5 1 6 => ALICE
3 4 2 5 6 1 => ALICE
3 4 2 6 1 5 => ALICE
3 4 2 6 5 1 => ALICE
3 4 5 1 2 6 => BOB
3 4 5 1 6 2 => BOB
3 4 5 2 1 6 => ALICE
3 4 5 2 6 1 => ALICE
3 4 5 6 1 2 => BOB
3 4 5 6 2 1 => ALICE
3 4 6 1 2 5 => BOB
3 4 6 1 5 2 => ALICE
3 4 6 2 1 5 => ALICE
3 4 6 2 5 1 => ALICE
3 4 6 5 1 2 => ALICE
3 4 6 5 2 1 => ALICE
3 5 1 2 4 6 => BOB
3 5 1 2 6 4 => BOB
3 5 1 4 2 6 => ALICE
3 5 1 4 6 2 => ALICE
3 5 1 6 2 4 => BOB
3 5 1 6 4 2 => ALICE
3 5 2 1 4 6 => ALICE
3 5 2 1 6 4 => ALICE
3 5 2 4 1 6 => ALICE
3 5 2 4 6 1 => ALICE
3 5 2 6 1 4 => ALICE
3 5 2 6 4 1 => ALICE
3 5 4 1 2 6 => ALICE
3 5 4 1 6 2 => ALICE
3 5 4 2 1 6 => ALICE
3 5 4 2 6 1 => ALICE
3 5 4 6 1 2 => ALICE
3 5 4 6 2 1 => ALICE
3 5 6 1 2 4 => BOB
3 5 6 1 4 2 => ALICE
3 5 6 2 1 4 => ALICE
3 5 6 2 4 1 => ALICE
3 5 6 4 1 2 => ALICE
3 5 6 4 2 1 => ALICE
3 6 1 2 4 5 => BOB
3 6 1 2 5 4 => ALICE
3 6 1 4 2 5 => ALICE
3 6 1 4 5 2 => ALICE
3 6 1 5 2 4 => ALICE
3 6 1 5 4 2 => ALICE
3 6 2 1 4 5 => ALICE
3 6 2 1 5 4 => BOB
3 6 2 4 1 5 => ALICE
3 6 2 4 5 1 => ALICE
3 6 2 5 1 4 => BOB
3 6 2 5 4 1 => ALICE
3 6 4 1 2 5 => ALICE
3 6 4 1 5 2 => ALICE
3 6 4 2 1 5 => ALICE
3 6 4 2 5 1 => ALICE
3 6 4 5 1 2 => ALICE
3 6 4 5 2 1 => ALICE
3 6 5 1 2 4 => ALICE
3 6 5 1 4 2 => ALICE
3 6 5 2 1 4 => ALICE
3 6 5 2 4 1 => ALICE
3 6 5 4 1 2 => ALICE
3 6 5 4 2 1 => ALICE
4 1 2 3 5 6 => ALICE
4 1 2 3 6 5 => BOB
4 1 2 5 3 6 => BOB
4 1 2 5 6 3 => BOB
4 1 2 6 3 5 => BOB
4 1 2 6 5 3 => ALICE
4 1 3 2 5 6 => ALICE
4 1 3 2 6 5 => ALICE
4 1 3 5 2 6 => ALICE
4 1 3 5 6 2 => ALICE
4 1 3 6 2 5 => ALICE
4 1 3 6 5 2 => ALICE
4 1 5 2 3 6 => BOB
4 1 5 2 6 3 => BOB
4 1 5 3 2 6 => ALICE
4 1 5 3 6 2 => ALICE
4 1 5 6 2 3 => BOB
4 1 5 6 3 2 => ALICE
4 1 6 2 3 5 => BOB
4 1 6 2 5 3 => ALICE
4 1 6 3 2 5 => ALICE
4 1 6 3 5 2 => ALICE
4 1 6 5 2 3 => ALICE
4 1 6 5 3 2 => ALICE
4 2 1 3 5 6 => ALICE
4 2 1 3 6 5 => ALICE
4 2 1 5 3 6 => ALICE
4 2 1 5 6 3 => ALICE
4 2 1 6 3 5 => ALICE
4 2 1 6 5 3 => BOB
4 2 3 1 5 6 => ALICE
4 2 3 1 6 5 => ALICE
4 2 3 5 1 6 => ALICE
4 2 3 5 6 1 => ALICE
4 2 3 6 1 5 => ALICE
4 2 3 6 5 1 => ALICE
4 2 5 1 3 6 => ALICE
4 2 5 1 6 3 => ALICE
4 2 5 3 1 6 => ALICE
4 2 5 3 6 1 => ALICE
4 2 5 6 1 3 => ALICE
4 2 5 6 3 1 => ALICE
4 2 6 1 3 5 => ALICE
4 2 6 1 5 3 => BOB
4 2 6 3 1 5 => ALICE
4 2 6 3 5 1 => ALICE
4 2 6 5 1 3 => BOB
4 2 6 5 3 1 => ALICE
4 3 1 2 5 6 => ALICE
4 3 1 2 6 5 => ALICE
4 3 1 5 2 6 => ALICE
4 3 1 5 6 2 => ALICE
4 3 1 6 2 5 => ALICE
4 3 1 6 5 2 => BOB
4 3 2 1 5 6 => ALICE
4 3 2 1 6 5 => ALICE
4 3 2 5 1 6 => ALICE
4 3 2 5 6 1 => ALICE
4 3 2 6 1 5 => ALICE
4 3 2 6 5 1 => ALICE
4 3 5 1 2 6 => ALICE
4 3 5 1 6 2 => ALICE
4 3 5 2 1 6 => ALICE
4 3 5 2 6 1 => ALICE
4 3 5 6 1 2 => ALICE
4 3 5 6 2 1 => ALICE
4 3 6 1 2 5 => ALICE
4 3 6 1 5 2 => BOB
4 3 6 2 1 5 => ALICE
4 3 6 2 5 1 => ALICE
4 3 6 5 1 2 => BOB
4 3 6 5 2 1 => ALICE
4 5 1 2 3 6 => BOB
4 5 1 2 6 3 => BOB
4 5 1 3 2 6 => ALICE
4 5 1 3 6 2 => ALICE
4 5 1 6 2 3 => BOB
4 5 1 6 3 2 => ALICE
4 5 2 1 3 6 => ALICE
4 5 2 1 6 3 => ALICE
4 5 2 3 1 6 => ALICE
4 5 2 3 6 1 => ALICE
4 5 2 6 1 3 => ALICE
4 5 2 6 3 1 => ALICE
4 5 3 1 2 6 => ALICE
4 5 3 1 6 2 => ALICE
4 5 3 2 1 6 => ALICE
4 5 3 2 6 1 => ALICE
4 5 3 6 1 2 => ALICE
4 5 3 6 2 1 => ALICE
4 5 6 1 2 3 => BOB
4 5 6 1 3 2 => ALICE
4 5 6 2 1 3 => ALICE
4 5 6 2 3 1 => ALICE
4 5 6 3 1 2 => ALICE
4 5 6 3 2 1 => ALICE
4 6 1 2 3 5 => BOB
4 6 1 2 5 3 => ALICE
4 6 1 3 2 5 => ALICE
4 6 1 3 5 2 => ALICE
4 6 1 5 2 3 => ALICE
4 6 1 5 3 2 => ALICE
4 6 2 1 3 5 => ALICE
4 6 2 1 5 3 => BOB
4 6 2 3 1 5 => ALICE
4 6 2 3 5 1 => ALICE
4 6 2 5 1 3 => BOB
4 6 2 5 3 1 => ALICE
4 6 3 1 2 5 => ALICE
4 6 3 1 5 2 => BOB
4 6 3 2 1 5 => ALICE
4 6 3 2 5 1 => ALICE
4 6 3 5 1 2 => BOB
4 6 3 5 2 1 => ALICE
4 6 5 1 2 3 => ALICE
4 6 5 1 3 2 => ALICE
4 6 5 2 1 3 => ALICE
4 6 5 2 3 1 => ALICE
4 6 5 3 1 2 => ALICE
4 6 5 3 2 1 => ALICE
5 1 2 3 4 6 => ALICE
5 1 2 3 6 4 => BOB
5 1 2 4 3 6 => ALICE
5 1 2 4 6 3 => ALICE
5 1 2 6 3 4 => BOB
5 1 2 6 4 3 => ALICE
5 1 3 2 4 6 => ALICE
5 1 3 2 6 4 => ALICE
5 1 3 4 2 6 => ALICE
5 1 3 4 6 2 => ALICE
5 1 3 6 2 4 => ALICE
5 1 3 6 4 2 => ALICE
5 1 4 2 3 6 => ALICE
5 1 4 2 6 3 => ALICE
5 1 4 3 2 6 => ALICE
5 1 4 3 6 2 => ALICE
5 1 4 6 2 3 => ALICE
5 1 4 6 3 2 => ALICE
5 1 6 2 3 4 => BOB
5 1 6 2 4 3 => ALICE
5 1 6 3 2 4 => ALICE
5 1 6 3 4 2 => ALICE
5 1 6 4 2 3 => ALICE
5 1 6 4 3 2 => ALICE
5 2 1 3 4 6 => ALICE
5 2 1 3 6 4 => ALICE
5 2 1 4 3 6 => ALICE
5 2 1 4 6 3 => ALICE
5 2 1 6 3 4 => ALICE
5 2 1 6 4 3 => BOB
5 2 3 1 4 6 => ALICE
5 2 3 1 6 4 => ALICE
5 2 3 4 1 6 => ALICE
5 2 3 4 6 1 => ALICE
5 2 3 6 1 4 => ALICE
5 2 3 6 4 1 => ALICE
5 2 4 1 3 6 => ALICE
5 2 4 1 6 3 => ALICE
5 2 4 3 1 6 => ALICE
5 2 4 3 6 1 => ALICE
5 2 4 6 1 3 => ALICE
5 2 4 6 3 1 => ALICE
5 2 6 1 3 4 => ALICE
5 2 6 1 4 3 => BOB
5 2 6 3 1 4 => ALICE
5 2 6 3 4 1 => ALICE
5 2 6 4 1 3 => BOB
5 2 6 4 3 1 => ALICE
5 3 1 2 4 6 => ALICE
5 3 1 2 6 4 => ALICE
5 3 1 4 2 6 => ALICE
5 3 1 4 6 2 => ALICE
5 3 1 6 2 4 => ALICE
5 3 1 6 4 2 => BOB
5 3 2 1 4 6 => ALICE
5 3 2 1 6 4 => ALICE
5 3 2 4 1 6 => ALICE
5 3 2 4 6 1 => ALICE
5 3 2 6 1 4 => ALICE
5 3 2 6 4 1 => ALICE
5 3 4 1 2 6 => ALICE
5 3 4 1 6 2 => ALICE
5 3 4 2 1 6 => ALICE
5 3 4 2 6 1 => ALICE
5 3 4 6 1 2 => ALICE
5 3 4 6 2 1 => ALICE
5 3 6 1 2 4 => ALICE
5 3 6 1 4 2 => BOB
5 3 6 2 1 4 => ALICE
5 3 6 2 4 1 => ALICE
5 3 6 4 1 2 => BOB
5 3 6 4 2 1 => ALICE
5 4 1 2 3 6 => ALICE
5 4 1 2 6 3 => ALICE
5 4 1 3 2 6 => ALICE
5 4 1 3 6 2 => ALICE
5 4 1 6 2 3 => ALICE
5 4 1 6 3 2 => ALICE
5 4 2 1 3 6 => ALICE
5 4 2 1 6 3 => ALICE
5 4 2 3 1 6 => ALICE
5 4 2 3 6 1 => ALICE
5 4 2 6 1 3 => ALICE
5 4 2 6 3 1 => ALICE
5 4 3 1 2 6 => ALICE
5 4 3 1 6 2 => ALICE
5 4 3 2 1 6 => ALICE
5 4 3 2 6 1 => ALICE
5 4 3 6 1 2 => ALICE
5 4 3 6 2 1 => ALICE
5 4 6 1 2 3 => ALICE
5 4 6 1 3 2 => ALICE
5 4 6 2 1 3 => ALICE
5 4 6 2 3 1 => ALICE
5 4 6 3 1 2 => ALICE
5 4 6 3 2 1 => ALICE
5 6 1 2 3 4 => BOB
5 6 1 2 4 3 => ALICE
5 6 1 3 2 4 => ALICE
5 6 1 3 4 2 => ALICE
5 6 1 4 2 3 => ALICE
5 6 1 4 3 2 => ALICE
5 6 2 1 3 4 => ALICE
5 6 2 1 4 3 => BOB
5 6 2 3 1 4 => ALICE
5 6 2 3 4 1 => ALICE
5 6 2 4 1 3 => BOB
5 6 2 4 3 1 => ALICE
5 6 3 1 2 4 => ALICE
5 6 3 1 4 2 => BOB
5 6 3 2 1 4 => ALICE
5 6 3 2 4 1 => ALICE
5 6 3 4 1 2 => BOB
5 6 3 4 2 1 => ALICE
5 6 4 1 2 3 => ALICE
5 6 4 1 3 2 => ALICE
5 6 4 2 1 3 => ALICE
5 6 4 2 3 1 => ALICE
5 6 4 3 1 2 => ALICE
5 6 4 3 2 1 => ALICE
6 1 2 3 4 5 => ALICE
6 1 2 3 5 4 => ALICE
6 1 2 4 3 5 => ALICE
6 1 2 4 5 3 => ALICE
6 1 2 5 3 4 => ALICE
6 1 2 5 4 3 => ALICE
6 1 3 2 4 5 => ALICE
6 1 3 2 5 4 => ALICE
6 1 3 4 2 5 => ALICE
6 1 3 4 5 2 => ALICE
6 1 3 5 2 4 => ALICE
6 1 3 5 4 2 => ALICE
6 1 4 2 3 5 => ALICE
6 1 4 2 5 3 => ALICE
6 1 4 3 2 5 => ALICE
6 1 4 3 5 2 => ALICE
6 1 4 5 2 3 => ALICE
6 1 4 5 3 2 => ALICE
6 1 5 2 3 4 => ALICE
6 1 5 2 4 3 => ALICE
6 1 5 3 2 4 => ALICE
6 1 5 3 4 2 => ALICE
6 1 5 4 2 3 => ALICE
6 1 5 4 3 2 => ALICE
6 2 1 3 4 5 => ALICE
6 2 1 3 5 4 => ALICE
6 2 1 4 3 5 => ALICE
6 2 1 4 5 3 => ALICE
6 2 1 5 3 4 => ALICE
6 2 1 5 4 3 => ALICE
6 2 3 1 4 5 => ALICE
6 2 3 1 5 4 => ALICE
6 2 3 4 1 5 => ALICE
6 2 3 4 5 1 => ALICE
6 2 3 5 1 4 => ALICE
6 2 3 5 4 1 => ALICE
